subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,7,8,0.127233744,0.280361891,0.153128147
Andy,7,9,0.160853386,0.264056921,0.103203535
Andy,7,10,0.133969545,0.26964426,0.135674715
Andy,8,1,0.117149115,0.245459318,0.128310204
Andy,8,2,0.137270689,0.274683475,0.137412786
Andy,8,3,-2.74371624,0.355689049,3.099405289
Andy,8,4,0.117719889,0.241977453,0.124257565
Andy,8,5,-2.662108898,0.269772053,2.931880951
Andy,8,6,-5.544050694,0.258180618,5.802231312
Andy,8,7,0.108660698,0.217473507,0.108812809
Andy,8,8,-0.61171031,0.22418046,0.83589077
Andy,8,9,0.088521719,0.225856781,0.137335062
Andy,8,10,0.108863831,0.244168997,0.135305166
Andy,9,1,0.154140472,0.545248508,0.391108036
Andy,9,2,0.177673101,0.289475441,0.11180234
Andy,9,3,0.134469271,0.270629168,0.136159897
Andy,9,4,0.081901312,0.371412277,0.289510965
Andy,9,5,0.137764215,0.311480284,0.173716068
Andy,9,6,-2.503305674,0.266166687,2.769472361
Andy,9,7,0.133891344,0.257683754,0.12379241
Andy,9,8,0.143800735,0.367628098,0.223827362
Andy,9,9,0.111279249,0.276119709,0.16484046
Andy,9,10,0.141065121,0.363765717,0.222700596
Andy,10,1,0.115626097,0.243505716,0.12787962
Andy,10,2,0.111562967,0.217318296,0.105755329
Andy,10,3,0.10761261,0.241801023,0.134188414
Andy,10,4,0.137808561,0.25092721,0.113118649
Andy,10,5,0.134595156,0.28908062,0.154485464
Andy,10,6,-4.636434793,0.223941565,4.860376358
Andy,10,7,0.12467885,0.252331495,0.127652645
Andy,10,8,0.097921371,0.235149145,0.137227774
Andy,10,9,0.131192684,0.374420404,0.24322772
Andy,10,10,-3.374769211,0.325118303,3.699887514
Andy,1,1,0.125196934,0.124527216,-0.000669718
Andy,1,2,0.138544321,0.156243563,0.017699242
Andy,1,3,0.142558336,0.309424162,0.166865826
Andy,1,4,0.125950575,0.136229515,0.01027894
Andy,1,5,0.12632823,0.119997263,-0.006330967
Andy,1,6,0.147761345,0.159785986,0.012024641
Andy,1,7,0.158077955,0.141872168,-0.016205788
Andy,1,8,0.144691467,0.200154066,0.055462599
Andy,1,9,0.148874998,0.198759794,0.049884796
Andy,1,10,0.136855602,0.117340088,-0.019515514
Andy,2,1,0.118131638,0.115627289,-0.002504349
Andy,2,2,0.155697107,0.262613773,0.106916666
Andy,2,3,0.16084528,0.193692446,0.032847166
Andy,2,4,0.156032085,0.11321187,-0.042820215
Andy,2,5,0.161081076,0.220377207,0.059296131
Andy,2,6,0.160027742,0.153482437,-0.006545305
Andy,2,7,0.147825956,0.132169247,-0.01565671
Andy,2,8,0.134263515,0.121429205,-0.012834311
Andy,2,9,0.155537367,0.132313728,-0.023223639
Andy,2,10,0.14592433,0.14330411,-0.00262022
Andy,3,1,0.157419682,0.114953518,-0.042466164
